datetime,symbol,high,low,open,close,volume,trend_macd,trend_macd_signal,trend_adx,trend_cci,momentum_rsi,momentum_stoch,momentum_stoch_signal,momentum_uo,momentum_wr,momentum_ao,Prediction
1/26/2024 6:30,FX:EURJPY,160.601,160.571,160.572,160.594,1307,0.075044537,0.067384572,37.47348379,182.4590586,72.79436213,97.09543568,94.74600873,66.29686968,-2.904564315,0.138476471,BUY
1/26/2024 6:35,FX:EURJPY,160.599,160.566,160.594,160.587,1036,0.076890064,0.069285671,38.09321488,152.7754392,71.52400267,94.19087137,93.83302434,65.2579257,-5.809128631,0.146467647,SELL
1/26/2024 6:40,FX:EURJPY,160.611,160.575,160.587,160.591,1060,0.077778838,0.070984304,38.79725301,141.5219814,71.82656532,92.03187251,94.43939319,63.605127,-7.96812749,0.154844118,BUY
1/26/2024 6:45,FX:EURJPY,160.617,160.591,160.591,160.611,727,0.079184244,0.072624292,39.51673728,134.1214839,73.35120969,97.66536965,94.62937118,66.65326663,-2.33463035,0.159,BUY
1/26/2024 6:50,FX:EURJPY,160.665,160.602,160.611,160.631,865,0.080978402,0.074295114,40.66760606,138.0719737,74.81875219,87.68115942,92.45946719,66.09540368,-12.31884058,0.161814706,BUY
1/26/2024 6:55,FX:EURJPY,160.646,160.584,160.631,160.634,903,0.081700567,0.075776205,41.17290515,109.7925537,75.04078647,88.21292776,91.18648561,62.20347337,-11.78707224,0.162188235,BUY
1/26/2024 7:00,FX:EURJPY,160.684,160.598,160.634,160.608,1187,0.079261232,0.07647321,42.02775817,103.7213159,69.33479895,73.04964539,82.98124419,54.11420144,-26.95035461,0.167432353,SELL
1/26/2024 7:05,FX:EURJPY,160.632,160.588,160.608,160.632,800,0.078361339,0.076850836,42.51038297,83.05158214,71.48984057,81.56028369,80.94095228,57.24506865,-18.43971631,0.166464706,BUY
1/26/2024 7:10,FX:EURJPY,160.634,160.59,160.632,160.593,752,0.073652177,0.076211104,42.98081205,66.27176449,63.66061629,64.453125,73.02101803,52.51734885,-35.546875,0.161682353,SELL
1/26/2024 7:15,FX:EURJPY,160.598,160.561,160.593,160.587,843,0.06864469,0.074697821,42.49286878,41.29887463,62.52610939,58.36909871,68.12750247,54.02121987,-41.63090129,0.144161765,SELL
1/26/2024 7:20,FX:EURJPY,160.593,160.559,160.587,160.564,932,0.062104411,0.072179139,41.9774614,26.76099662,58.24132645,45.70135747,56.17452706,50.0538344,-54.29864253,0.129376471,SELL
1/26/2024 7:25,FX:EURJPY,160.59,160.555,160.564,160.556,979,0.055634342,0.06887018,41.36732283,16.54866502,56.78372715,38.46153846,47.51066488,46.9273115,-61.53846154,0.109294118,SELL
1/26/2024 7:30,FX:EURJPY,160.581,160.538,160.556,160.57,1190,0.051047998,0.065305743,40.24172012,6.916682531,58.73025838,21.91780822,35.36023472,43.50681021,-78.08219178,0.092811765,BUY
1/26/2024 7:35,FX:EURJPY,160.619,160.548,160.57,160.613,1342,0.050303166,0.062305228,39.85395708,41.69825625,64.08153003,51.36986301,37.24973656,55.96842511,-48.63013699,0.080508824,BUY
1/26/2024 7:40,FX:EURJPY,160.654,160.593,160.613,160.641,997,0.05137997,0.060120176,40.00286039,95.51396316,67.07531836,70.54794521,47.94520548,55.66606118,-29.45205479,0.081705882,BUY
1/26/2024 7:45,FX:EURJPY,160.673,160.62,160.641,160.652,1337,0.052515586,0.058599258,40.39023467,129.4210834,68.19680312,78.08219178,66.66666667,59.50933886,-21.91780822,0.086614706,BUY
1/26/2024 7:50,FX:EURJPY,160.677,160.628,160.652,160.635,1197,0.05145072,0.057169551,40.80231147,120.3571497,64.53808631,66.43835616,71.68949772,54.40363946,-33.56164384,0.092791176,SELL
1/26/2024 7:55,FX:EURJPY,160.658,160.578,160.635,160.587,1474,0.046201031,0.054975847,39.58599079,20.89552239,55.48642091,33.56164384,59.36073059,49.90342273,-66.43835616,0.096152941,SELL
