,datetime,symbol,open,high,low,close,volume,ema_fast,ema_slow,rsi,bulls_power,bears_power,bb_upper,bb_lower,SuperArrowSignal
5442,2024-07-18 13:30:00,FX:EURUSD,1.08994,1.09005,1.08982,1.09,646.0,1.090105411182484,1.0904200804722046,25.00409547558003,-0.0010296479457676533,-0.0012596479457676057,1.0905988305532102,1.09019916944679,0
5443,2024-07-18 13:35:00,FX:EURUSD,1.09,1.0901,1.08988,1.08989,587.0,1.0900336074549895,1.090338529630327,23.203084039081077,-0.0009329950851493241,-0.001152995085149433,1.0904436349020588,1.0901043650979416,0
5444,2024-07-18 13:40:00,FX:EURUSD,1.08989,1.0899,1.08958,1.08961,762.0,1.089892404969993,1.0902264481487383,19.33568643610313,-0.0010771913563198954,-0.0013971913563199934,1.0903079135571736,1.089984086442826,0
5445,2024-07-18 13:45:00,FX:EURUSD,1.08961,1.0898,1.08957,1.08968,546.0,1.0898216033133288,1.0901423792027785,22.8430186835252,-0.0011263211070524637,-0.0013563211070526382,1.09019018823481,1.08989781176519,0
5446,2024-07-18 13:50:00,FX:EURUSD,1.08968,1.08981,1.08955,1.08979,596.0,1.0898110688755527,1.0900881670177356,28.19521526684288,-0.0010717594950113707,-0.0013317594950112976,1.0900910406436792,1.0898449593563209,0
5447,2024-07-18 13:55:00,FX:EURUSD,1.08979,1.0899,1.08979,1.08989,842.0,1.0898373792503686,1.0900576797842378,32.81702373279067,-0.0009428669657951527,-0.0010528669657952072,1.0899838185441932,1.0898241814558067,0
5448,2024-07-18 14:00:00,FX:EURUSD,1.08989,1.08998,1.08969,1.08977,1102.0,1.0898149195002458,1.0900134213558936,30.266710150192807,-0.0008207937514503882,-0.0011107937514502897,1.089945747909651,1.089796252090349,0
5449,2024-07-18 14:05:00,FX:EURUSD,1.08977,1.08984,1.08968,1.08969,947.0,1.0897732796668307,1.0899636642242176,28.647587496687848,-0.0009172332121778481,-0.0010772332121777861,1.08990767220925,1.0897623277907502,0
5450,2024-07-18 14:10:00,FX:EURUSD,1.08969,1.08974,1.08949,1.08959,1152.0,1.0897121864445538,1.089906177420492,26.69988552192784,-0.0009714593607199618,-0.0012214593607198232,1.0898523145600694,1.0897176854399306,0
5451,2024-07-18 14:15:00,FX:EURUSD,1.08959,1.08965,1.08949,1.08953,967.0,1.0896514576297025,1.0898483039711855,25.56232474504374,-0.001015127621083689,-0.001175127621083627,1.0898156658914506,1.0896723341085495,0
5452,2024-07-18 14:20:00,FX:EURUSD,1.08953,1.08961,1.08935,1.08936,844.0,1.0895543050864684,1.0897731802833108,22.587752858105162,-0.00100394614574717,-0.0012639461457470968,1.0897584856674656,1.0896015143325344,0
5453,2024-07-18 14:25:00,FX:EURUSD,1.08936,1.08962,1.08936,1.08954,763.0,1.0895495367243124,1.0897373063935707,31.75999135967382,-0.0009518306106197638,-0.0012118306106196908,1.0897173964777982,1.0895726035222018,0
5454,2024-07-18 14:30:00,FX:EURUSD,1.08954,1.08981,1.08952,1.08966,1045.0,1.0895863578162084,1.089725413102252,37.173809846880545,-0.0007260725474584895,-0.001016072547458391,1.089722180329714,1.0895778196702866,0
5455,2024-07-18 14:35:00,FX:EURUSD,1.08966,1.08985,1.08961,1.08981,1034.0,1.0896609052108057,1.0897384264711363,43.30707902045956,-0.000657599114224805,-0.000897599114224823,1.0897390608309023,1.0895869391690978,0
5456,2024-07-18 14:40:00,FX:EURUSD,1.08981,1.08984,1.08973,1.08979,1199.0,1.089703936807204,1.0897463608601923,42.70074208993052,-0.0006394579724906535,-0.000749457972490486,1.0897390608309023,1.0895869391690978,0
5457,2024-07-18 14:45:00,FX:EURUSD,1.08979,1.08994,1.08972,1.08993,719.0,1.0897792912048025,1.0897746130355472,48.23521359461671,-0.0005179106010204659,-0.0007379106010203529,1.0897462164755436,1.0895877835244563,0
5458,2024-07-18 14:50:00,FX:EURUSD,1.08993,1.08997,1.08951,1.08952,940.0,1.089692860803202,1.0897354417993093,36.86065427532887,-0.0004511297931371061,-0.0009111297931372331,1.0897219624911918,1.0895620375088082,0
5459,2024-07-18 14:55:00,FX:EURUSD,1.08952,1.08974,1.08952,1.08971,835.0,1.0896985738688012,1.0897315276763386,43.58601326285514,-0.0006532423502692009,-0.0008732423502690878,1.089724318117493,1.0895636818825072,0
5460,2024-07-18 15:00:00,FX:EURUSD,1.08971,1.08985,1.08965,1.08982,525.0,1.0897390492458676,1.0897451388030557,47.141951154495224,-0.0005207622581016036,-0.0007207622581015816,1.0897507869321406,1.0895832130678593,0
5461,2024-07-18 15:05:00,FX:EURUSD,1.08982,1.08988,1.08977,1.0898,155.0,1.0897593661639118,1.089753578987201,46.559841583179924,-0.00046837942445066005,-0.0005783794244507146,1.089776528782843,1.0896114712171574,0
5462,2024-07-18 15:10:00,FX:EURUSD,1.0898,1.08983,1.08977,1.08983,160.0,1.0897829107759414,1.0897653360660933,47.61825889898277,-0.0004980508195699951,-0.0005580508195701661,1.0898037076550144,1.0896782923449853,0
5463,2024-07-18 15:15:00,FX:EURUSD,1.08983,1.08985,1.0898,1.08982,386.0,1.0897952738506276,1.0897737459020789,47.27776180176262,-0.00045812725801819276,-0.0005081272580180762,1.08982268659048,1.0897153134095199,0
5464,2024-07-18 15:20:00,FX:EURUSD,1.08982,1.08983,1.0898,1.08981,222.0,1.089800182567085,1.089779323455605,46.91182106768617,-0.00045859285574278985,-0.0004885928557427643,1.0898347050293102,1.08973329497069,0
5465,2024-07-18 15:25:00,FX:EURUSD,1.08981,1.08981,1.08973,1.08978,135.0,1.0897934550447235,1.0897794275393582,45.75282600331632,-0.000458648037870768,-0.000538648037870626,1.089831519798073,1.0897304802019268,0
5466,2024-07-18 15:30:00,FX:EURUSD,1.08978,1.08979,1.08959,1.08961,147.0,1.089732303363149,1.0897533617640722,39.69095039709704,-0.00045281870305236005,-0.000652818703052338,1.0898195707521374,1.0897064292478627,0
5467,2024-07-18 15:35:00,FX:EURUSD,1.08961,1.08976,1.08957,1.08976,207.0,1.0897415355754327,1.089754383031138,46.51235028309688,-0.00046388463626612086,-0.0006538846362662554,1.0897953051721165,1.0896966948278837,0
5468,2024-07-18 15:40:00,FX:EURUSD,1.08976,1.08977,1.08962,1.08965,109.0,1.0897110237169552,1.0897383241032708,42.65286637792945,-0.0004313793564127977,-0.0005813793564126701,1.0897956367301678,1.089722363269832,0
5469,2024-07-18 15:45:00,FX:EURUSD,1.08965,1.08966,1.08959,1.0896,44.0,1.0896740158113034,1.0897170434719983,40.96723173723004,-0.0005177958522395443,-0.0005877958522395588,1.0897914050687987,1.0897045949312012,0
5470,2024-07-18 15:50:00,FX:EURUSD,1.0896,1.08962,1.08955,1.08955,78.0,1.0896326772075358,1.0896913444763063,39.274027949706415,-0.0005331764070537481,-0.0006031764070537626,1.0897715197980742,1.0896704802019257,0
5471,2024-07-18 15:55:00,FX:EURUSD,1.08955,1.08964,1.08948,1.08964,171.0,1.0896351181383572,1.0896834453261053,43.83249491663996,-0.0004930518420713792,-0.0006530518420713172,1.0897549624859018,1.089655037514098,0
5472,2024-07-18 16:00:00,FX:EURUSD,1.08964,1.08967,1.0894,1.08964,8.0,1.0896367454255715,1.0896767614297813,43.83249491663996,-0.0004437164757158385,-0.000713716475715831,1.0897320543157318,1.089639945684268,0
5473,2024-07-18 16:05:00,FX:EURUSD,1.08964,1.08973,1.08962,1.08969,95.0,1.0896544969503812,1.089678798132892,46.48830876066105,-0.00036710014333452,-0.0004771001433345745,1.089713376354436,1.0896326236455638,0
5474,2024-07-18 16:10:00,FX:EURUSD,1.08969,1.0898,1.08967,1.08977,74.0,1.0896929979669208,1.0896928291893702,50.56801672182463,-0.00028427268673314465,-0.0004142726867333302,1.0897063128663809,1.0896316871336191,0
5475,2024-07-18 16:15:00,FX:EURUSD,1.08977,1.08977,1.08956,1.08963,47.0,1.089671998644614,1.0896831631602364,44.14306985316321,-0.0002964580715674181,-0.0005064580715672395,1.0896866496553976,1.0896213503446022,0
5476,2024-07-18 16:20:00,FX:EURUSD,1.08963,1.08965,1.08951,1.08955,60.0,1.0896313324297426,1.0896626765202,40.90338073902716,-0.0003962048138588248,-0.0005362048138588538,1.089683763109451,1.089612236890549,0
5477,2024-07-18 16:25:00,FX:EURUSD,1.08955,1.08961,1.08955,1.08961,3.0,1.0896242216198284,1.0896545724401692,44.25093930061105,-0.0004190987427272752,-0.0004790987427272242,1.0896637449182407,1.089602255081759,0
5478,2024-07-18 16:30:00,FX:EURUSD,1.08961,1.08971,1.08957,1.08957,7.0,1.0896061477465524,1.0896415612955277,42.50007477983601,-0.0003010948704633698,-0.0004410948704633988,1.0896569570023258,1.0895930429976743,0
5479,2024-07-18 16:35:00,FX:EURUSD,1.08957,1.08973,1.08957,1.08966,35.0,1.0896240984977017,1.0896443980192927,47.59004150642991,-0.00026732644417060136,-0.0004273264441707614,1.0896630507409841,1.089598949259016,0
5480,2024-07-18 16:40:00,FX:EURUSD,1.08966,1.08973,1.08959,1.0896,41.0,1.0896160656651346,1.089637567554786,44.711551627516386,-0.00025174501498748114,-0.00039174501498751013,1.0896656816441193,1.0896063183558808,0
5481,2024-07-18 16:45:00,FX:EURUSD,1.0896,1.08991,1.08956,1.0896,72.0,1.0896107104434232,1.0896317879309727,44.711551627516386,-5.677462224307206e-05,-0.0004067746222429225,1.089662149626824,1.089601850373176,1
5482,2024-07-18 16:50:00,FX:EURUSD,1.0896,1.08985,1.0896,1.08975,61.0,1.0896571402956154,1.0896499744031307,53.14362604439902,-0.0001082736566648812,-0.0003582736566649647,1.0896780035712124,1.089607996428788,0
5483,2024-07-18 16:55:00,FX:EURUSD,1.08975,1.08987,1.08961,1.08975,95.0,1.0896880935304103,1.0896653629564952,53.14362604439902,-8.010606228592287e-05,-0.00034010606228584983,1.089687042739092,1.0896109572609083,0
5484,2024-07-18 17:00:00,FX:EURUSD,1.08975,1.08981,1.08957,1.08973,245.0,1.0897020623536071,1.0896753071170344,51.88793647484912,-0.00013147445200023533,-0.0003714744520002533,1.0896802313780258,1.0896097686219741,0
5485,2024-07-18 17:05:00,FX:EURUSD,1.08973,1.08981,1.08971,1.08978,43.0,1.0897280415690715,1.0896914137144136,54.80061276172328,-0.00012514212054925977,-0.00022514212054924876,1.0897004351332082,1.0896195648667915,0
5486,2024-07-18 17:10:00,FX:EURUSD,1.08978,1.08979,1.08976,1.08976,40.0,1.0897386943793812,1.0897019654506577,53.390193333594915,-0.00013827380209630036,-0.00016827380209627485,1.0897193699100538,1.0896426300899464,0
5487,2024-07-18 17:15:00,FX:EURUSD,1.08976,1.08989,1.08976,1.08985,97.0,1.0897757962529209,1.0897247399967103,58.6185974495324,-3.520424122971377e-05,-0.00016520424122967725,1.0897487749928325,1.0896612250071673,0
5488,2024-07-18 17:20:00,FX:EURUSD,1.08985,1.09,1.08985,1.08996,102.0,1.0898371975019474,1.0897609338433702,64.00256182345993,7.343121921077334e-05,-7.656878078932117e-05,1.0897960192271896,1.0896919807728105,0
5489,2024-07-18 17:25:00,FX:EURUSD,1.08996,1.09001,1.08992,1.08999,177.0,1.089888131667965,1.089796174790544,65.34406504967319,8.094372041811404e-05,-9.056279581809434e-06,1.0898384023614964,1.0897155976385036,0
5490,2024-07-18 17:30:00,FX:EURUSD,1.08999,1.08999,1.08976,1.08976,114.0,1.0898454211119768,1.0897906094381526,49.81690549263293,6.757337844098821e-05,-0.00016242662155896426,1.0898471317836147,1.0897388682163853,0
5491,2024-07-18 17:35:00,FX:EURUSD,1.08976,1.08985,1.08974,1.08985,180.0,1.0898469474079846,1.0897997464476676,54.43845436922234,-6.958636189002831e-05,-0.0001795863618900828,1.0898618634243675,1.0897741365756324,0
5492,2024-07-18 17:40:00,FX:EURUSD,1.08985,1.08987,1.08985,1.08987,51.0,1.089854631605323,1.089810554686488,55.433436556611646,-4.7641798678776937e-05,-6.764179867868592e-05,1.0898728952211467,1.089787104778853,0
5493,2024-07-18 17:45:00,FX:EURUSD,1.08987,1.08987,1.08981,1.08985,40.0,1.089853087736882,1.0898166231962592,54.143548174955846,-4.498917912276745e-05,-0.00010498917912271644,1.0898808044114923,1.089799195588508,0
5494,2024-07-18 17:50:00,FX:EURUSD,1.08985,1.08994,1.08985,1.08994,86.0,1.0898820584912547,1.0898356042429884,58.84472814619885,2.4030004372121994e-05,-6.596999562780148e-05,1.089899758869916,1.089822241130084,0
5495,2024-07-18 17:55:00,FX:EURUSD,1.08994,1.08996,1.0897,1.08974,168.0,1.0898347056608366,1.0898208958979132,47.13112982516962,5.0930788514369496e-05,-0.0002090692114857795,1.0898982340878056,1.089815765912194,0
5496,2024-07-18 18:00:00,FX:EURUSD,1.08974,1.08979,1.08965,1.08978,206.0,1.0898164704405577,1.0898146042213113,49.331711818684425,-0.0001140076737804474,-0.0002540076737804764,1.0898991528329909,1.0898188471670094,0
5497,2024-07-18 18:05:00,FX:EURUSD,1.08978,1.08992,1.08978,1.08991,359.0,1.0898476469603717,1.0898292804949556,55.84747109351405,1.575733303438298e-05,-0.000124242666965646,1.089905819725589,1.089824180274411,0
5498,2024-07-18 18:10:00,FX:EURUSD,1.08991,1.08999,1.08991,1.08996,306.0,1.0898850979735812,1.0898493911880394,58.107827362469216,8.357077095477727e-05,3.5707709546972666e-06,1.089905819725589,1.089824180274411,0
5499,2024-07-18 18:15:00,FX:EURUSD,1.08996,1.08996,1.08985,1.08987,371.0,1.0898800653157208,1.089852561774495,52.80000541430821,5.499936817221496e-05,-5.500063182783954e-05,1.089888217183266,1.0898177828167344,0
5500,2024-07-18 18:20:00,FX:EURUSD,1.08987,1.08987,1.08985,1.08987,134.0,1.0898767102104805,1.0898552445784189,52.80000541430821,-3.362805803086566e-05,-5.362805803077464e-05,1.0898956385839942,1.0898323614160057,0
5501,2024-07-18 18:25:00,FX:EURUSD,1.08987,1.09001,1.08987,1.09001,157.0,1.0899211401403204,1.089879053104816,59.627078252719144,0.00010220049326448155,-3.779950673554744e-05,1.0899182753183805,1.0898417246816194,0
5502,2024-07-18 18:30:00,FX:EURUSD,1.09001,1.09001,1.08989,1.08993,135.0,1.0899240934268803,1.0898868910886905,54.69540867187899,0.00010132988568534174,-1.867011431455623e-05,1.089924935844631,1.0898470641553692,0
