datetime,symbol,open,high,low,close,volume,HighArrow,LowArrow,UTC,GMT
2024-06-28 03:00:00,FX:EURUSD,1.06969,1.06973,1.0694,1.06956,2873.0,,,2024-06-28 08:00:00,2024-06-28 10:00:00
2024-06-28 02:45:00,FX:EURUSD,1.07009,1.07016,1.06957,1.06969,2342.0,,,2024-06-28 07:45:00,2024-06-28 09:45:00
2024-06-28 02:30:00,FX:EURUSD,1.06987,1.0704,1.0698,1.07009,3084.0,,,2024-06-28 07:30:00,2024-06-28 09:30:00
2024-06-28 02:15:00,FX:EURUSD,1.06955,1.06993,1.06915,1.06987,3088.0,,,2024-06-28 07:15:00,2024-06-28 09:15:00
2024-06-28 02:00:00,FX:EURUSD,1.0697,1.06992,1.06951,1.06955,2676.0,,,2024-06-28 07:00:00,2024-06-28 09:00:00
2024-06-28 01:45:00,FX:EURUSD,1.06961,1.06981,1.06948,1.0697,1892.0,,,2024-06-28 06:45:00,2024-06-28 08:45:00
2024-06-28 01:30:00,FX:EURUSD,1.06964,1.06982,1.06933,1.06961,2095.0,,,2024-06-28 06:30:00,2024-06-28 08:30:00
2024-06-28 01:15:00,FX:EURUSD,1.06928,1.0697,1.0692,1.06964,1897.0,,,2024-06-28 06:15:00,2024-06-28 08:15:00
2024-06-28 01:00:00,FX:EURUSD,1.06903,1.06932,1.06898,1.06928,1786.0,,,2024-06-28 06:00:00,2024-06-28 08:00:00
2024-06-28 00:45:00,FX:EURUSD,1.06906,1.06924,1.06889,1.06903,1063.0,,,2024-06-28 05:45:00,2024-06-28 07:45:00
2024-06-28 00:30:00,FX:EURUSD,1.06907,1.06913,1.06894,1.06906,908.0,,,2024-06-28 05:30:00,2024-06-28 07:30:00
2024-06-28 00:15:00,FX:EURUSD,1.06912,1.06914,1.06894,1.06907,1019.0,,,2024-06-28 05:15:00,2024-06-28 07:15:00
2024-06-28 00:00:00,FX:EURUSD,1.06867,1.06912,1.0686,1.06912,1103.0,,,2024-06-28 05:00:00,2024-06-28 07:00:00
2024-06-27 23:45:00,FX:EURUSD,1.06871,1.06872,1.06856,1.06867,857.0,,,2024-06-28 04:45:00,2024-06-28 06:45:00
2024-06-27 23:30:00,FX:EURUSD,1.06857,1.06876,1.06857,1.06871,1031.0,,,2024-06-28 04:30:00,2024-06-28 06:30:00
2024-06-27 23:15:00,FX:EURUSD,1.06889,1.06889,1.06854,1.06857,937.0,,,2024-06-28 04:15:00,2024-06-28 06:15:00
2024-06-27 23:00:00,FX:EURUSD,1.06921,1.06922,1.06888,1.06889,923.0,,,2024-06-28 04:00:00,2024-06-28 06:00:00
2024-06-27 22:45:00,FX:EURUSD,1.06925,1.06926,1.06899,1.06921,902.0,,,2024-06-28 03:45:00,2024-06-28 05:45:00
2024-06-27 22:30:00,FX:EURUSD,1.06931,1.06935,1.0692,1.06925,1024.0,,,2024-06-28 03:30:00,2024-06-28 05:30:00
2024-06-27 22:15:00,FX:EURUSD,1.06936,1.06949,1.06921,1.06931,987.0,,,2024-06-28 03:15:00,2024-06-28 05:15:00
