,datetime,symbol,open,high,low,close,volume,hhb1,llb1,hhb,llb,atr,b1,b2,b3,b4,SuperSignalV3,SuperSignalV2
4000,2024-07-18 13:25:00,FX:GBPJPY,203.604,203.604,203.568,203.57,1023.0,203.839,203.554,203.85,203.554,0.09670360118576951,,,,,0,0
4001,2024-07-18 13:30:00,FX:GBPJPY,203.57,203.618,203.568,203.611,1162.0,203.773,203.554,203.85,203.554,0.09576952916205378,,,,,0,0
4002,2024-07-18 13:35:00,FX:GBPJPY,203.611,203.645,203.582,203.583,933.0,203.742,203.554,203.85,203.554,0.09511413857881303,,,,,0,0
4003,2024-07-18 13:40:00,FX:GBPJPY,203.583,203.622,203.57,203.614,1363.0,203.732,203.554,203.839,203.554,0.09425185580723719,,,,,0,0
4004,2024-07-18 13:45:00,FX:GBPJPY,203.614,203.632,203.594,203.607,884.0,203.732,203.554,203.773,203.554,0.09312681869109266,,,,,0,0
4005,2024-07-18 13:50:00,FX:GBPJPY,203.607,203.672,203.589,203.662,1046.0,203.732,203.554,203.753,203.554,0.09292428231727078,,,,,0,0
4006,2024-07-18 13:55:00,FX:GBPJPY,203.662,203.71,203.638,203.655,1332.0,203.732,203.554,203.765,203.554,0.09250579667092541,,,,,0,0
4007,2024-07-18 14:00:00,FX:GBPJPY,203.655,203.698,203.644,203.676,994.0,203.732,203.568,203.769,203.554,0.09173568073750694,,,,,0,0
4008,2024-07-18 14:05:00,FX:GBPJPY,203.676,203.732,203.667,203.722,1391.0,203.74,203.568,203.769,203.554,0.09120096712275677,,,,,0,0
4009,2024-07-18 14:10:00,FX:GBPJPY,203.722,203.731,203.667,203.7,1273.0,203.753,203.57,203.769,203.554,0.09065694778030149,,,,,0,0
4010,2024-07-18 14:15:00,FX:GBPJPY,203.7,203.722,203.685,203.701,1187.0,203.765,203.57,203.769,203.568,0.08958380882469559,,,,,0,0
4011,2024-07-18 14:20:00,FX:GBPJPY,203.701,203.702,203.663,203.672,999.0,203.769,203.589,203.769,203.568,0.08857213264820142,,,,,0,0
4012,2024-07-18 14:25:00,FX:GBPJPY,203.672,203.707,203.669,203.7,890.0,203.769,203.589,203.769,203.57,0.08756068999523704,,,,,0,0
4013,2024-07-18 14:30:00,FX:GBPJPY,203.7,203.731,203.687,203.694,894.0,203.769,203.638,203.769,203.57,0.08668947619533196,,,,,0,0
4014,2024-07-18 14:35:00,FX:GBPJPY,203.694,203.74,203.648,203.738,912.0,203.769,203.644,203.769,203.589,0.08679568667142558,,,,,0,0
4015,2024-07-18 14:40:00,FX:GBPJPY,203.738,203.753,203.715,203.72,804.0,203.769,203.648,203.769,203.589,0.08581977293799671,,,,,0,0
4016,2024-07-18 14:45:00,FX:GBPJPY,203.72,203.765,203.718,203.762,806.0,203.769,203.648,203.769,203.638,0.08504337747923671,,,,,0,0
4017,2024-07-18 14:50:00,FX:GBPJPY,203.762,203.769,203.695,203.705,878.0,203.769,203.648,203.769,203.644,0.08482250992965222,203.85382250992967,,203.81141125496484,,2,2
4018,2024-07-18 14:55:00,FX:GBPJPY,203.705,203.739,203.696,203.712,902.0,203.769,203.648,203.769,203.648,0.0839860597310593,,,,,0,0
4019,2024-07-18 15:00:00,FX:GBPJPY,203.712,203.724,203.69,203.702,775.0,203.769,203.648,203.769,203.648,0.08298633853643794,,,,,0,0
4020,2024-07-18 15:05:00,FX:GBPJPY,203.702,203.73,203.696,203.715,444.0,203.769,203.648,203.769,203.591,0.08200661176570902,,,,,0,0
4021,2024-07-18 15:10:00,FX:GBPJPY,203.715,203.717,203.685,203.7,283.0,203.769,203.648,203.769,203.591,0.08100647953039505,,,,,0,0
4022,2024-07-18 15:15:00,FX:GBPJPY,203.7,203.711,203.7,203.711,201.0,203.769,203.685,203.769,203.578,0.07960634993978763,,,,,0,0
4023,2024-07-18 15:20:00,FX:GBPJPY,203.711,203.714,203.708,203.712,249.0,203.769,203.673,203.769,203.578,0.07813422294099187,,,,,0,0
4024,2024-07-18 15:25:00,FX:GBPJPY,203.712,203.762,203.711,203.747,463.0,203.769,203.591,203.769,203.578,0.07759153848217179,,,,,0,0
4025,2024-07-18 15:30:00,FX:GBPJPY,203.747,203.767,203.714,203.715,550.0,203.769,203.591,203.769,203.578,0.0770997077125283,,,,,0,0
4026,2024-07-18 15:35:00,FX:GBPJPY,203.715,203.739,203.712,203.733,349.0,203.769,203.578,203.769,203.578,0.07609771355827805,,,,,0,0
4027,2024-07-18 15:40:00,FX:GBPJPY,203.733,203.736,203.708,203.714,398.0,203.769,203.578,203.769,203.578,0.07513575928711232,,,,,0,0
4028,2024-07-18 15:45:00,FX:GBPJPY,203.714,203.733,203.71,203.731,327.0,203.769,203.578,203.769,203.578,0.07409304410136999,,,,,0,0
4029,2024-07-18 15:50:00,FX:GBPJPY,203.731,203.731,203.673,203.682,446.0,203.769,203.578,203.769,203.578,0.07377118321934245,,,,,0,0
4030,2024-07-18 15:55:00,FX:GBPJPY,203.682,203.686,203.591,203.601,391.0,203.769,203.578,203.769,203.578,0.07419575955495558,,,,,0,0
4031,2024-07-18 16:00:00,FX:GBPJPY,203.601,203.769,203.601,203.745,32.0,203.769,203.578,203.769,203.578,0.0760718443638566,203.84507184436387,,203.80703592218194,,2,2
4032,2024-07-18 16:05:00,FX:GBPJPY,203.745,203.746,203.578,203.612,256.0,203.769,203.578,203.769,203.578,0.0779104074765796,,203.50008959252344,,203.53904479626172,1,0
4033,2024-07-18 16:10:00,FX:GBPJPY,203.612,203.689,203.596,203.655,269.0,203.769,203.578,203.769,203.548,0.07821219932704779,,,,,0,0
4034,2024-07-18 16:15:00,FX:GBPJPY,203.655,203.717,203.609,203.717,241.0,203.769,203.578,203.769,203.548,0.07880795534050691,,,,,0,0
4035,2024-07-18 16:20:00,FX:GBPJPY,203.717,203.718,203.671,203.69,46.0,203.769,203.578,203.769,203.54,0.07817179623369672,,,,,0,0
4036,2024-07-18 16:25:00,FX:GBPJPY,203.69,203.691,203.63,203.673,221.0,203.769,203.578,203.769,203.534,0.07782836030902292,,,,,0,0
4037,2024-07-18 16:30:00,FX:GBPJPY,203.673,203.676,203.66,203.672,77.0,203.769,203.548,203.769,203.534,0.07659179310284228,,,,,0,0
4038,2024-07-18 16:35:00,FX:GBPJPY,203.672,203.673,203.641,203.655,162.0,203.769,203.548,203.769,203.534,0.07569995724078565,,,,,0,0
4039,2024-07-18 16:40:00,FX:GBPJPY,203.655,203.658,203.64,203.645,183.0,203.746,203.54,203.769,203.534,0.07454595809596995,,,,,0,0
4040,2024-07-18 16:45:00,FX:GBPJPY,203.645,203.691,203.604,203.617,254.0,203.718,203.534,203.769,203.534,0.07479503893405033,,,,,0,0
4041,2024-07-18 16:50:00,FX:GBPJPY,203.617,203.659,203.599,203.624,238.0,203.718,203.534,203.769,203.534,0.07449913815536938,,,,,0,0
4042,2024-07-18 16:55:00,FX:GBPJPY,203.624,203.655,203.591,203.614,235.0,203.718,203.534,203.746,203.534,0.07428915539226184,,,,,0,0
4043,2024-07-18 17:00:00,FX:GBPJPY,203.614,203.656,203.548,203.589,1287.0,203.691,203.534,203.718,203.534,0.07496337228441668,,,,,0,0
