,datetime,symbol,open,high,low,close,volume,hhb1,llb1,hhb,llb,atr,b1,b2,b3,b4,SuperSignalV3
3123,2024-07-08 12:15:00,FX:EURUSD,1.08324,1.08331,1.08313,1.08329,376.0,1.08336,1.08294,1.08336,1.08288,0.0002637792839604101,,,,,0
3124,2024-07-08 12:20:00,FX:EURUSD,1.08329,1.08331,1.0832,1.08326,363.0,1.08336,1.08294,1.08336,1.08283,0.000260703698281203,,,,,0
3125,2024-07-08 12:25:00,FX:EURUSD,1.08326,1.08326,1.08304,1.08306,502.0,1.08336,1.08294,1.08336,1.08283,0.00025988962431557663,,,,,0
3126,2024-07-08 12:30:00,FX:EURUSD,1.08306,1.08317,1.08305,1.08309,599.0,1.08336,1.08294,1.08336,1.08283,0.00025709183182926306,,,,,0
3127,2024-07-08 12:35:00,FX:EURUSD,1.08309,1.08321,1.08308,1.0832,455.0,1.08336,1.08288,1.08336,1.08283,0.0002545499951926771,,,,,0
3128,2024-07-08 12:40:00,FX:EURUSD,1.0832,1.08327,1.08315,1.08318,434.0,1.08336,1.08283,1.08336,1.08277,0.0002518589952888215,,,,,0
3129,2024-07-08 12:45:00,FX:EURUSD,1.08318,1.08336,1.08318,1.08323,402.0,1.08336,1.08283,1.08336,1.08264,0.0002504218153830464,1.0836104218153833,,1.0834852109076916,,2
3130,2024-07-08 12:50:00,FX:EURUSD,1.08323,1.08335,1.08323,1.08328,263.0,1.08336,1.08283,1.08336,1.08233,0.0002478133790753879,,,,,0
3131,2024-07-08 12:55:00,FX:EURUSD,1.08328,1.08328,1.08308,1.0832,359.0,1.08336,1.08283,1.08336,1.08233,0.0002468571114938797,,,,,0
3132,2024-07-08 13:00:00,FX:EURUSD,1.0832,1.0832,1.08307,1.08307,453.0,1.08336,1.08277,1.08336,1.08233,0.0002445199692640013,,,,,0
3133,2024-07-08 13:05:00,FX:EURUSD,1.08307,1.08308,1.08288,1.0829,428.0,1.08336,1.08264,1.08336,1.08233,0.00024362956987872085,,,,,0
3134,2024-07-08 13:10:00,FX:EURUSD,1.0829,1.08292,1.08283,1.08285,429.0,1.08336,1.08233,1.08336,1.08233,0.00024055697848114933,,,,,0
3135,2024-07-08 13:15:00,FX:EURUSD,1.08285,1.08297,1.08283,1.08296,316.0,1.08336,1.08233,1.08336,1.08233,0.00023854583891152692,,,,,0
3136,2024-07-08 13:20:00,FX:EURUSD,1.08296,1.08302,1.08295,1.08298,498.0,1.08336,1.08233,1.08336,1.08233,0.00023517492213329666,,,,,0
3137,2024-07-08 13:25:00,FX:EURUSD,1.08298,1.08299,1.08288,1.08288,241.0,1.08335,1.08233,1.08336,1.08232,0.00023267142369062736,,,,,0
3138,2024-07-08 13:30:00,FX:EURUSD,1.08288,1.08289,1.08277,1.08279,260.0,1.08328,1.08233,1.08336,1.08227,0.00023041799521681276,,,,,0
3139,2024-07-08 13:35:00,FX:EURUSD,1.08279,1.08279,1.08264,1.08265,379.0,1.0832,1.08233,1.08336,1.08222,0.00022880963531247395,,,,,0
3140,2024-07-08 13:40:00,FX:EURUSD,1.08265,1.08265,1.08233,1.08248,576.0,1.08308,1.08233,1.08335,1.08222,0.00023063344260622196,,,,1.082214683278697,-1
3141,2024-07-08 13:45:00,FX:EURUSD,1.08248,1.08248,1.08235,1.08243,784.0,1.08302,1.08232,1.08328,1.08222,0.00022862077375410125,,,,,0
3142,2024-07-08 13:50:00,FX:EURUSD,1.08243,1.08257,1.0824,1.08244,712.0,1.08302,1.08227,1.0832,1.08222,0.0002274483582790193,,,,,0
3143,2024-07-08 13:55:00,FX:EURUSD,1.08244,1.0826,1.08243,1.08259,539.0,1.08302,1.08222,1.08308,1.08222,0.00022629939111343898,,,,,0
3144,2024-07-08 14:00:00,FX:EURUSD,1.08259,1.08265,1.08253,1.08258,545.0,1.08299,1.08222,1.08302,1.08222,0.00022417340329116816,,,,,0
3145,2024-07-08 14:05:00,FX:EURUSD,1.08258,1.08261,1.08245,1.08246,348.0,1.08289,1.08222,1.08302,1.08222,0.000222889935225348,,,,,0
3146,2024-07-08 14:10:00,FX:EURUSD,1.08246,1.08251,1.08238,1.08246,446.0,1.08279,1.08222,1.08302,1.08222,0.00022103213652084473,,,,,0
3147,2024-07-08 14:15:00,FX:EURUSD,1.08246,1.08246,1.08232,1.08234,528.0,1.08265,1.08222,1.08299,1.08222,0.00021941149379042842,,,,,0
3148,2024-07-08 14:20:00,FX:EURUSD,1.08234,1.08237,1.08227,1.08228,474.0,1.08265,1.08222,1.08289,1.08222,0.00021702326391461965,,,,,0
3149,2024-07-08 14:25:00,FX:EURUSD,1.08228,1.08231,1.08222,1.0823,360.0,1.08265,1.08222,1.08279,1.08222,0.00021448279863633016,,1.0820055172013636,,1.0821127586006818,1
3150,2024-07-08 14:30:00,FX:EURUSD,1.0823,1.08239,1.0823,1.08238,402.0,1.08265,1.08222,1.08265,1.08222,0.00021199314266360202,,,,,0
3151,2024-07-08 14:35:00,FX:EURUSD,1.08238,1.0824,1.08232,1.08233,558.0,1.08265,1.08222,1.08265,1.08222,0.00020935327981033157,,,,,0
3152,2024-07-08 14:40:00,FX:EURUSD,1.08233,1.0824,1.08233,1.08238,453.0,1.08261,1.08222,1.08265,1.08222,0.00020656621421412524,,,,,0
3153,2024-07-08 14:45:00,FX:EURUSD,1.08238,1.08255,1.08237,1.08249,365.0,1.08258,1.08222,1.08265,1.08222,0.00020603488992983969,,,,,0
